"email","start_date","address","region","phone_number","end_date"
"winifred28@outlook.com","1/16/15","4148 Ridge Avenue,Long Beach,CA,90805","west","(310)409-1008",""
"keary.holleger@comcast.net","6/5/15","2771 Main Street,Saint Albans,WV,25177","south","(304)763-1533",""
"harstick30@gmail.com","5/22/16","1215 Colonial Avenue,Venice,FL,34285","south","(941)652-1760","4/26/16"
"kringer41@att.net","11/16/15","9901 Williams ST,Tyler,TX,75703","southwest","(713)806-1504","12/5/15"
"liviu.petrola@att.net","1/1/15","532 4th Avenue,Golden,CO,80403","southwest","(720)700-7002",""
"trellis86@aol.com","","","","",""
"ardeth.harrow@aol.com","3/12/15","8805 Bank Street,Irving,TX,75062","southwest","(817)392-2258","8/27/15"
"karlheinz88@comcast.net","1/28/14","3089 Main Street,Woodstock,GA,30188","south","(404)414-9107",""
"spetz22@hotmail.com","12/16/14","9683 12th Street,Albuquerque,NM,87120","southwest","(505)765-4698",""
"dwane.sesta@yahoo.com","","","","",""
"beauchain21@yahoo.com","","","","",""
"bennetsen18@gmail.com","9/21/15","9042 Clark Street,Livingston,NJ,07039","midatlantic","(973)451-5674",""
"darleen.wrathall@aol.com","5/5/15","1738 Bank Street,El Centro,CA,92243","west","(760)418-9692",""
"phen77@gmail.com","11/12/14","8906 Hillside Avenue,Beloit,WI,53511","midwest","(608)429-4904",""
"del54@yahoo.com","9/17/13","8440 2nd Street West,Chesterfield,VA,23832","south","(804)247-3842",""
"mishmael90@att.net","11/14/13","125 Williams Street,Macon,MS,39341","south","(662)532-5885",""
"reith26@mac.com","","","","",""
"shavonda67@gmail.com","","","","",""
"lidiya.georgeff@hotmail.com","3/5/16","567 13th Street,Shippensburg,PA,17257","midatlantic","(717)403-7360",""
"vashaw40@aol.com","8/7/13","3893 Bank Street,Folcroft,,19032","midatlantic","(484)699-3096",""
"idalia.reape@gmail.com","2/9/15","4055 5th Street,Miami,FL,33143","south","(786)310-9113",""
"carrol60@aol.com","2/27/16","595 Park Drive,Granby,CT,06035","northest","(860)606-2387",""
"fdorson26@hotmail.com","1/12/15","4816 Grove Street,Indianapolis,IN,46214","midwest","(317)418-8219",""
"ruehlmann85@gmail.com","7/29/12","70413 Maple Street,Newcastle,OK,73065","southwest","(405)798-8554",""
"","","","","",""
"romana87@gmail.com","1/28/13","2754 Meadow Lane,Southern Pines,NC,28387","south","(910)733-8941",""
"latha23@yahoo.com","8/6/16","328 Fairview Avenue,Rockford,IL,61107","midwest","(815)993-4373",""
"audelia.kaspick48@aol.com","","","","",""
"bowron78@gmail.com","3/7/14","15735 Cambridge Drive,Reisterstown,MD,21136","midatlantic","(410)551-9212",""
"ohse44@outlook.com","10/22/12","4495 Ridge RD,Carle Place,NY,11514","midatlantic","(631)644-5924",""
"agrubesic20@gmail.com","3/21/16","8891 Railroad Avenue,Marietta,GA,30067","south","(404)853-6129",""
"aulston84@att.net","","","","",""
"giambusso41@att.net","8/14/13","582 Garden Street,Salt Lake City,UT,84109","southwest","(801)524-6819",""
"tracee74@att.net","","","","",""
"justino.rainford@gmail.com","5/13/13","8952 3rd ST,San Rafael,CA,94901","west","(415)716-6450",""
"miguelina65@gmail.com","6/25/12","4194 Holly Drive,Lebanon,NJ,08833","midatlantic","(908)368-2172",""
"torin.millgate69@gmail.com","","","","",""
"morrie.hargreave@hotmail.com","9/26/14","6014 5th Street North,Bentonville,AR,72712","south","(479)831-6350",""
"jacquelinej.bugas83@gmail.com","12/9/15","2710 Hamilton ST,Key West,FL,33040","south","(305)335-3040",""
"mckenna79@yahoo.com","10/8/16","1154 Elm Street,Frankston,TX,75763","southwest","(903)988-2549","4/24/16"
"waleska51@aol.com","9/30/14","6169 Circle Drive,Kemah,TX,77565","southwest","(832)389-9559",""
"victoriano.whitelock45@gmail.com","9/7/10","407 East Street,Leander,,78641","southwest","(512)251-8497","4/28/12"
"ebensteiner48@gmail.com","3/12/16","340 Central Avenue,Bronx,NY,10456","midatlantic","(718)926-2269",""
"myrle.gehrung@yahoo.com","1/18/16","359 6th Street West,Buffalo,NY,14224","midatlantic","(716)314-6945",""
"walda.lisemby@hotmail.com","4/21/12","746 Forest Drive,Highland,IL,62249","midwest","(618)681-3497","11/19/15"
"mpieranunzi55@att.net","4/29/14","24733 Clark ST,Chesapeake,VA,23322","south","(757)697-4307",""
"hannaway90@gmail.com","3/5/12","1392 4th Avenue,Laurel,MD,20707","midatlantic","(410)392-2892",""
"voytilla98@aol.com","10/23/15","660 Franklin Avenue,Sterling Heights,MI,48313","midwest","(810)801-5261",""
"fogoros37@comcast.net","1/12/16","347 Hillcrest Drive,Largo,FL,33771","south","(727)526-6613",""
"mylinda64@outlook.com","9/23/12","5757 5th Street North,Ashtabula,OH,44004","midwest","(440)245-8886",""
"las.bilton@gmail.com","8/15/16","586 Virginia AVE,Shinglehouse,PA,16748","midatlantic","(814)937-6381",""
"anglesey94@gmail.com","7/11/16","1181 13th ST,Cisco,TX,76437","southwest","(325)532-5176","3/3/16"
"piveral62@yahoo.com","9/24/15","338 Maple Avenue,Knoxville,TN,37923","south","(865)292-8378",""
"watzke19@gmail.com","7/7/16","46282 6th Avenue,Texarkana,TX,75501","southwest","(430)616-8447",""
"ysaffel@gmail.com","3/9/15","6151 Ridge Avenue,Phelps,NY,14532","midatlantic","(315)363-4565",""
"rosalind.carafelli@hotmail.com","8/10/16","1839 Pearl Street,Auburn Hills,MI,48326","midwest","(313)565-2610",""
"dwoskin19@comcast.net","7/22/13","5638 Pleasant Street,Silver Spring,MD,20904","midatlantic","(410)409-3703",""
"naudus96@att.net","5/31/16","2348 Pennsylvania Avenue,Gowanda,NY,14070","midatlantic","(716)271-9521",""
"armella.agbisit@yahoo.com","9/7/16","50468 Wall Street,Madison,MS,39110","south","(601)569-1867",""
"narciso.quatman@aol.com","4/9/15","8095 Glenwood Avenue,Tucson,AZ,85747","southwest","(520)340-8474",""
"ihoes@att.net","7/7/12","6524 Lincoln AVE,Little Silver,NJ,07739","midatlantic","(732)758-1090",""
"fidencio.hobus97@mac.com","3/14/14","7866 Devon Road,Rego Park,NY,11374","midatlantic","(917)788-9268",""
"garibian86@att.net","2/1/16","634 Lilac Lane,Elk Grove,CA,95624","west","(916)501-7084",""
"hiep.schuemann30@yahoo.com","8/15/11","5328 3rd Avenue,Red Lion,PA,17356","midatlantic","(717)938-1406",""
"","","","","",""
"tori79@aol.com","9/27/16","963 2nd ST W,Moline,IL,61265","midwest","(309)914-5389",""
"quiana.thurkettle67@gmail.com","6/15/16","91024 Elm Street,Detroit,MI,48207","midwest","(313)762-1969",""
"beverlie.allenbaugh@gmail.com","6/17/15","50082 Park Avenue,Great Falls,MT,59404","northwest","(406)203-8443",""
"ballein70@mac.com","4/8/13","6600 Grant Avenue,Mililani,HI,96789","west","(808)486-5974",""
"apostolos23@comcast.net","3/31/14","540 Hill Street,Havana,FL,32333","south","(850)445-1064","5/16/14"
"maylene95@hotmail.com","","","","",""
"hdregney@outlook.com","2/12/13","8872 Maple Lane,Lynwood,CA,90262","west","(310)521-5473",""
"aroggero95@gmail.com","1/31/15","595 2nd Avenue,Excelsior Springs,MO,64024","midwest","(816)303-1200","3/31/15"
"tehman69@gmail.com","3/24/11","74119 Franklin Avenue,Walnut Creek,CA,94598","west","(925)549-6937",""
"declan.dudine@aol.com","12/23/15","745 High Street,Gwynn Oak,MD,21207","midatlantic","(410)463-2459",""
"carolann.terpolilli@gmail.com","12/15/14","30420 Wall Street,Webster City,IA,50595","midwest","(515)978-8050",""
"mpasson@gmail.com","6/22/14","6582 Mill Street,Baton Rouge,LA,70816","south","(225)355-7131",""
"","","","","",""
"shunta86@gmail.com","9/9/13","5331 Market Street,Streetsboro,OH,44241","midwest","(330)399-5332",""
"aditya.ballash@outlook.com","1/25/12","7910 Henry Street,Hartford,WI,53027","midwest","(262)312-5037",""
"roland.bonafiglia@yahoo.com","2/8/15","5128 Windsor Court,Silver Spring,MD,20904","midatlantic","(301)732-9880",""
"kaffenberger23@att.net","7/27/10","9842 Woodland Avenue,Franklin,IN,46131","midwest","(765)538-6037",""
"mitcham65@mac.com","8/20/13","787 2nd Street East,Geismar,LA,70734","south","(225)719-3680","10/22/15"
"agapito.steagall@aol.com","2/10/15","2889 River Street,Oxford,NC,27565","south","(252)850-1881",""
"rcastle@yahoo.com","6/7/11","710 3rd Street North,Saint Louis,MO,63122","midwest","(636)874-6745","3/9/14"
"rodel72@yahoo.com","12/14/13","252 Main Street,New Hyde Park,NY,11040","midatlantic","(718)290-6063","8/17/14"
"shayla.wineinger@yahoo.com","6/18/14","39424 Mill Street,Raleigh,NC,27614","south","(919)862-1959",""
"jgiefer@yahoo.com","11/11/14","5220 Colonial Avenue,Victorville,CA,92392","west","(760)845-4979",""
"lbrenay65@gmail.com","9/10/12","1914 George Street,Madison,MS,39110","south","(601)998-7527",""
"mpaparazzo@att.net","1/3/14","5457 Maple Avenue,Belleville,MI,48111","midwest","(734)969-6854",""
"ahmad79@yahoo.com","1/19/12","6809 Pennsylvania Avenue,Rochester,MI,48309","midwest","(810)656-7585","9/25/14"
"abhay90@gmail.com","3/26/12","1858 Canal Street,Rochester,NY,14612","midatlantic","(585)810-7723","10/17/14"
"elissa.nordlund@hotmail.com","2/15/16","9672 7th Avenue,Honolulu,HI,96825","west","(808)875-1081",""
"slodde70@att.net","1/30/12","3691 Jefferson Avenue,Phoenix,AZ,85032","southwest","(602)337-9285",""
"","","","","",""
"lavanier41@gmail.com","8/7/13","3713 Lincoln Street,Pamplin,VA,23958","south","(434)625-6497",""
"finefield71@gmail.com","9/19/15","8332 Durham RD,Jacksonville,FL,32207","south","(386)885-9026","12/12/15"
"sue.tremonti@aol.com","","","","",""
"","","","","",""
"ozzie.pramann73@gmail.com","3/8/16","5813 Grove Street,Azusa,CA,91702","west","(626)854-4229",""
"coughtry26@att.net","","","","",""
"","","","","",""
"candee.damour@gmail.com","5/11/15","6340 Cherry Lane,Theodore,AL,36582","south","(251)337-2479",""
"clarita47@att.net","2/16/14","1437 Monroe Street,North Augusta,SC,29860","south","(803)820-6352",""
"diania69@aol.com","7/18/14","266 South Street,Palm Desert,CA,92260","west","(760)426-3455",""
"jdeleski@yahoo.com","1/18/11","1544 Jefferson Avenue,Greendale,WI,53129","midwest","(414)380-3631",""
"amel20@yahoo.com","12/6/16","8844 Williams Street,Alma,GA,31510","south","(912)541-2257",""
"","","","","",""
"huan25@gmail.com","9/7/12","6822 11th Street,Saint Peters,MO,63376","midwest","(636)425-9512",""
"tabdel-rahman@yahoo.com","8/5/14","2961 Washington ST,Duncan,OK,73533","southwest","(580)286-1576",""
"carren81@aol.com","8/27/16","430 Beech Street,Hahnville,LA,70057","south","(985)844-9313",""
"zcarbonara@yahoo.com","1/7/10","8717 Virginia Avenue,Denver,CO,80219","southwest","(720)407-6190",""
"cassius51@yahoo.com","8/29/13","223 Grove ST,Columbus,,43228","midwest","(614)930-9544",""
"jose29@gmail.com","10/6/15","4296 Lincoln Street,Dundalk,MD,21222","midatlantic","(443)879-3653",""
"kindermann70@yahoo.com","7/1/14","989 Surrey Lane,Cape Girardeau,MO,63701","midwest","(573)575-8133",""
"jennette.winkert@att.net","1/24/12","9309 Arch Street,Chicago,IL,60629","midwest","(708)539-8995",""
"debroah.schrameck@outlook.com","2/28/15","3597 South ST,Garwin,IA,50632","midwest","(641)253-7587",""
"","","","","",""
"deloa70@att.net","2/17/15","7926 Beechwood Drive,Opa Locka,,33055","south","(305)371-3601",""
"koczaja93@outlook.com","9/2/15","1832 Fairview Avenue,Houston,TX,77072","southwest","(713)827-7762",""
"birdie.heasley@yahoo.com","1/12/15","38763 Hickory Lane,Clinton,OK,73601","southwest","(580)314-6264",""
"gavino.spurk91@gmail.com","","","","",""
"coppotelli43@hotmail.com","2/9/14","3900 Main Street East,Clarkston,WA,99403","northwest","(509)815-9747",""
"chupack61@gmail.com","2/21/14","6974 4th Street West,San Gabriel,CA,91776","west","(323)853-2880",""
"greg.raffin@yahoo.com","1/21/16","76222 4th Avenue,Leoma,TN,38468","south","(931)448-9344",""
"corie.morring@gmail.com","12/15/14","9669 Fairway DR,North Olmsted,OH,44070","midwest","(216)766-6396",""
"venecia.surdu49@att.net","3/4/13","832 11th Street,Anaheim,CA,92802","west","(562)532-5366",""
"buttari32@att.net","8/21/12","853 Mill Street,Wellington,FL,33414","south","(561)861-4501",""
"deanna.conkrite@gmail.com","10/21/16","5297 Main Street,Mentor,OH,44060","midwest","(440)507-2716",""
"ehercule@gmail.com","8/2/14","37524 Walnut Street,Campbellsville,KY,42718","south","(270)815-4658",""
"manola71@gmail.com","12/29/12","4820 River Road,Hollywood,FL,33027","south","(305)423-4469",""
"mary-ann.landreaux@att.net","4/6/15","8197 5th Street West,Orange,CA,92867","west","(949)295-7092",""
"","","","","",""
"sguignon@gmail.com","1/23/12","429 James ST,Surprise,AZ,85388","southwest","(623)314-5502",""
"bronnert36@yahoo.com","10/20/15","346 12th ST E,Butler,NJ,07405","midatlantic","(201)321-7450",""
"vmcbath@att.net","1/25/16","863 River ST,Camden,,08103","midatlantic","(856)613-9744",""
"bodino18@att.net","","","","",""
"supriya51@gmail.com","8/15/14","34236 College Street,Rockford,IL,61101","midwest","(815)668-7880","8/23/14"
"","","","","",""
"shelagh99@yahoo.com","12/6/14","2889 Fairview Avenue,Oxnard,CA,93035","west","(805)340-7241",""
"marva.hubin@aol.com","1/20/14","752 6th Avenue,Salisbury,NC,28147","south","(704)467-7018",""
"nfillipi76@aol.com","2/26/13","924 Laurel Lane,Oroville,CA,95966","west","(530)568-7595",""
"venita96@outlook.com","6/22/10","4368 Vine Street,Port Jefferson,NY,11777","midatlantic","(631)833-9120",""
"","","","","",""
"shira44@yahoo.com","","","","",""
"torsten.varda@yahoo.com","8/10/16","1857 Railroad Avenue,Gladwin,MI,48624","midwest","(989)942-3299","3/31/16"
"molly71@aol.com","6/21/14","4911 4th ST,Longview,TX,75604","southwest","(430)702-8195",""
"ettore38@att.net","10/11/14","61647 7th Street,Buffalo,NY,14218","midatlantic","(716)935-9179",""
"","","","","",""
"leida43@mac.com","3/15/14","8176 Broadway,El Campo,TX,77437","southwest","(979)506-1262","6/13/15"
"larae.canizzaro@yahoo.com","2/27/16","5154 Warren Street,Altamont,TN,37301","south","(931)361-6951",""
"silvano29@att.net","8/4/14","38129 Forest Drive,Mount Morris,,48458","midwest","(810)885-7141",""
"ronn95@gmail.com","11/7/16","203 Washington Avenue,Londonderry,NH,03053","northest","(603)237-5798","5/23/16"
"cheree.fontinel@gmail.com","8/9/11","12270 James Street,Ann Arbor,MI,48108","midwest","(586)228-8319",""
"futia64@gmail.com","3/28/14","871 Park Avenue,Oakhurst,CA,93644","west","(559)948-7173",""
"bwegenke60@gmail.com","9/2/15","5382 Valley Road,Caledonia,IL,61011","midwest","(815)743-2408",""
"mesha90@gmail.com","7/25/16","399 Forest Drive,Feeding Hills,MA,01030","northest","(413)976-9818",""
"desirae.derycke@att.net","10/7/16","5654 4th ST N,Owenton,KY,40359","south","(502)284-7326",""
"","","","","",""
"kzamacona22@aol.com","7/2/13","1241 Pearl Street,Broken Arrow,OK,74012","southwest","(918)761-4168",""
"skerry76@yahoo.com","1/25/14","539 Riverside Drive,Katy,TX,77494","southwest","(281)318-9636",""
"","","","","",""
"hannaman65@yahoo.com","2/2/16","91458 Devon Road,Miami,FL,33173","south","(954)863-7727",""
"grahame.jemerson@gmail.com","8/29/15","239 Colonial DR,Jackson,LA,70748","south","(225)858-7659",""
"mendy30@gmail.com","9/27/16","2512 1st Avenue,Gardena,CA,90247","west","(323)763-7375",""
"jmaroki43@att.net","8/28/13","421 Broadway,Upper Marlboro,MD,20774","midatlantic","(301)316-4415",""
"khayyat86@yahoo.com","2/1/13","2185 Buckingham Drive,Jonesboro,IN,46938","midwest","(765)297-3900",""
"angi42@yahoo.com","2/4/14","728 Hickory Lane,Artesia,CA,90701","west","(562)390-7744",""
"avelina.brognano@outlook.com","4/26/10","7737 James Street,Memphis,TN,38127","south","(901)809-9050",""
"lesly.hueck@yahoo.com","10/11/11","3767 Arch ST,Saint Cloud,MN,56304","midwest","(320)649-3277",""
"joellen.mecozzi@mac.com","1/6/15","6252 1st Street,Spartanburg,SC,29303","south","(864)387-8256",""
"reggiani74@gmail.com","9/28/15","9912 2nd ST N,Arlington,TX,76018","southwest","(214)528-6485",""
"lbarvinchak@gmail.com","12/18/15","698 Valley View Drive,Chattanooga,TN,37421","south","(423)747-2831",""
"stephanie74@gmail.com","12/18/10","4367 5th Street North,Clearwater,FL,33763","south","(727)644-6723",""
"carlevale24@aol.com","10/14/15","2000 6th Street,Fulton,NY,13069","midatlantic","(315)917-7609",""
"arnoldo.schelonka@aol.com","2/29/16","2403 2nd Street East,Newville,PA,17241","midatlantic","(717)458-2873","1/1/16"
"lynna61@gmail.com","8/9/16","7195 Surrey Lane,Miami,FL,33158","south","(786)327-1009",""
"aniela84@att.net","9/20/14","7335 Division Street,Brooklyn,,11221","midatlantic","(718)680-1995",""
"roome88@gmail.com","3/16/13","5510 3rd Street North,Cheyenne,WY,82009","northwest","(307)899-6810","7/6/15"
"stig.mussetter@gmail.com","2/26/16","6644 Canterbury Court,Kissimmee,FL,34759","south","(321)885-6916",""
"austel92@yahoo.com","12/26/14","763 Grant AVE,Oklahoma City,OK,73130","southwest","(405)480-3508",""
"","","","","",""
"bohse81@gmail.com","6/7/16","964 Pleasant Street,Albuquerque,NM,87121","southwest","(505)212-2551",""
"blassengale18@gmail.com","10/18/16","302 3rd ST,Monroe Township,,08831","midatlantic","(732)261-9259",""
"snabb74@gmail.com","8/19/13","96649 Main Street,Lancaster,PA,17603","midatlantic","(717)762-5697","5/29/14"
"balthrop30@att.net","1/26/15","161 York Road,Bear,DE,19701","midatlantic","(302)844-2568",""
"dorette89@outlook.com","12/7/11","4683 Highland AVE,Thousand Oaks,CA,91360","west","(805)568-7621",""
"cindy30@comcast.net","9/12/16","73849 Ridge Road,Marshfield,MA,02050","northest","(781)595-4371",""
"efruehauf78@gmail.com","8/21/12","2087 Smith Street,Julian,PA,16844","midatlantic","(814)345-1582",""
"niels70@att.net","5/13/15","234 Washington Avenue,Hamtramck,MI,48212","midwest","(313)792-2018",""
"","","","","",""
"agerlak77@comcast.net","4/7/14","3344 Maple Street,Sacramento,CA,95833","west","(530)240-8560",""
"hannah.tunnell@yahoo.com","5/18/13","5453 7th Avenue,Gruver,TX,79040","southwest","(806)808-5937",""
"tammera.brunst@hotmail.com","8/23/16","5011 4th Avenue,Aurora,CO,80013","southwest","(303)567-2986",""
"miotto37@gmail.com","6/30/10","7669 Woodland Avenue,Marana,AZ,85658","southwest","(520)451-4360","11/23/13"
"","","","","",""
"lyal.dougert48@gmail.com","10/30/15","6460 Warren ST,Centerburg,OH,43011","midwest","(740)915-4670",""
"ashok.labelle@att.net","12/10/16","3556 Canterbury CT,Baldwyn,MS,38824","south","(662)375-6630",""
"hershell97@gmail.com","11/8/16","4086 Cedar Avenue,Anderson,CA,96007","west","(530)321-1854",""
"erik49@comcast.net","10/29/15","1432 George Street,Tonasket,WA,98855","northwest","(509)325-9460",""
"roshanda33@gmail.com","7/17/15","515 Willow Street,Rego Park,NY,11374","midatlantic","(347)588-8532",""
"veronika.krauszer@att.net","12/24/16","71716 Maple Street,Laredo,TX,78041","southwest","(956)907-3916",""
"larche59@mac.com","","","","",""
"herculano18@aol.com","8/10/14","674 2nd Street West,Beaverton,OR,97005","northwest","(503)282-1560",""
"dietmar58@gmail.com","1/18/14","516 13th Street,Brookville,OH,45309","midwest","(937)614-8968",""
"kragenbrink45@att.net","8/28/12","5807 College Street,North Hills,CA,91343","west","(818)954-5096","7/5/15"
"stephani.dohne@gmail.com","11/12/16","7355 6th ST,Bronx,NY,10453","midatlantic","(718)354-1442",""
"delcambre73@gmail.com","","","","",""
"jacquelined.fultner@att.net","6/2/15","3774 1st Street,San Luis Obispo,CA,93405","west","(805)950-1239",""
"angella50@hotmail.com","","","","",""
"natelson82@hotmail.com","3/9/16","9932 Hill ST,Rockford,IL,61107","midwest","(815)828-1524",""
"fransson73@att.net","4/9/13","3634 Main Street East,Franklin,TN,37064","south","(615)859-1104",""
"apolonia.grossenbach@gmail.com","10/8/12","89476 Park ST,Austin,TX,78730","southwest","(512)983-4398",""
"","","","","",""
"","","","","",""
"","","","","",""
"abdulrahman.cancelli@gmail.com","","","","",""
"murwiller24@yahoo.com","2/12/13","1475 Oak Street,Lincoln,NE,68502","midwest","(402)655-2387",""
"","","","","",""
"akanewske@gmail.com","","","","",""
"snowhite93@att.net","3/22/16","10566 Fairview Avenue,Scottdale,GA,30079","south","(678)829-4917",""
"matusow34@yahoo.com","3/18/14","4820 Broadway,Lovelock,NV,89419","west","(775)723-5994","10/3/14"
"collene.kondratowicz65@yahoo.com","3/10/12","7138 Clark ST,Sacramento,CA,95842","west","(916)936-5091",""
"mccumby59@yahoo.com","2/8/11","6736 Magnolia AVE,East Meadow,NY,11554","midatlantic","(516)994-5300",""
"dennis.huddlestone42@att.net","7/26/12","458 Hillside AVE APT A,Gilroy,CA,95020","west","(805)463-9943",""
"rcampuzano@gmail.com","8/7/13","61679 6th Street West,League City,TX,77573","southwest","(832)547-3287",""
"devorah.pitzer@outlook.com","9/2/14","6024 Washington Street,Columbus,OH,43207","midwest","(614)701-6027",""
"woldenberg77@gmail.com","9/7/16","4592 Mechanic Street,Bristow,,20136","south","(703)291-4294",""
"gelfand68@gmail.com","3/3/14","778 Virginia Avenue,Jacksonville,FL,32207","south","(386)781-9519",""
"balasubramaniam17@att.net","11/22/16","6930 John Street,Rosemead,CA,91770","west","(213)618-7940",""
"","","","","",""
"ebrogaard@att.net","12/28/16","1876 Lafayette Avenue,Sterling,VA,20165","south","(571)665-9273",""
"wilford.nordelo@aol.com","6/27/16","659 State Street,Portland,OR,97233","northwest","(503)212-8179",""
"ovandiver@gmail.com","9/18/10","9918 4th Street West,Wichita Falls,,76309","southwest","(940)706-2408",""
"june99@outlook.com","3/18/14","6168 Orange Street APT C,Brooklyn,NY,11238","midatlantic","(718)410-2439",""
"masami.ganjian@gmail.com","10/26/12","4060 Woodland Drive,Williston,ND,58801","midwest","(701)407-5130",""
"sulema19@gmail.com","12/13/14","2582 Washington Street,Warren,MI,48088","midwest","(586)617-8016",""
"lede71@att.net","4/25/16","7174 Jackson Street,Danville,VA,24541","south","(434)657-8647",""
"ashlea.pintello@aol.com","3/18/15","1149 Mulberry Street,Eudora,KS,66025","midwest","(785)256-7104",""
"dwaine.vitacolonna86@gmail.com","2/27/16","8721 Broad Street,Lincoln,NE,68528","midwest","(402)688-3501",""
"wendy35@att.net","1/24/13","2751 5th Street,Ruskin,FL,33570","south","(813)903-2964","10/15/13"
"bernardo.vercauteren@gmail.com","1/18/13","791 Washington AVE,Boylston,MA,01505","northest","(508)441-8121",""
"clete.sisum@gmail.com","2/1/13","4880 Durham Road,Tehachapi,CA,93561","west","(661)749-8864",""
"vimal76@aol.com","4/16/11","33038 Magnolia AVE,Dayton,OH,45415","midwest","(937)822-6694",""
"wcedillos@aol.com","1/5/11","19070 Washington Street,Phoenix,AZ,85033","southwest","(623)416-5465",""
"riche77@yahoo.com","7/16/11","11236 Main Street West,Hazleton,,18201","midatlantic","(570)470-7282",""
"lakisha46@aol.com","5/4/15","1774 Myrtle Avenue,Midland,TX,79705","southwest","(432)383-6494",""
"kischnick41@yahoo.com","1/11/12","7473 Prospect AVE,San Antonio,TX,78217","southwest","(210)245-2099",""
"aleshia47@att.net","12/7/12","6849 Fairview Avenue,Goshen,IN,46526","midwest","(574)453-8872",""
"coiro97@att.net","2/13/14","8516 Devon RD,Chicago,IL,60625","midwest","(773)216-8221",""
"reynalda86@gmail.com","4/9/11","1926 Hillcrest DR,Miami,FL,33184","south","(561)830-3062",""
"bonna.mangola18@hotmail.com","","","","",""
"spicka23@aol.com","","","","",""
"sedio56@comcast.net","6/9/10","853 Main ST,Springfield,OR,97477","northwest","(541)609-1733",""
"anis33@mac.com","2/11/14","1323 Heather Lane,Chester,AR,72934","south","(479)686-4114",""
"smigelski62@gmail.com","","","","",""
"","","","","",""
"ankur17@gmail.com","","","","",""
"orestes88@gmail.com","","","","",""
"charolette40@outlook.com","11/24/14","916 Woodland AVE,Salt Lake City,UT,84107","southwest","(801)522-6174",""
"hkantrow@gmail.com","1/14/12","9931 Elizabeth Street,Fairfax,VA,22030","south","(571)352-6433",""
"radhika48@comcast.net","6/22/15","7631 Columbia ST,Semmes,AL,36575","south","(251)292-4361","11/1/15"
"nmangiaracina@comcast.net","10/11/16","913 Ridge Road,Goldsboro,NC,27534","south","(919)344-3840",""
"wishop60@yahoo.com","6/17/12","830 Lincoln Avenue,Freeport,,61032","midwest","(815)666-9078",""
"marinez36@att.net","9/27/16","9539 Walnut Street,Bronx,NY,10469","midatlantic","(718)386-6107",""
"thomas.terral@aol.com","3/4/13","253 Virginia Avenue,Cleveland,,44121","midwest","(440)625-5244",""
"fernelius94@att.net","6/15/16","2767 Park Street,Graham,NC,27253","south","(336)289-1657",""
"ona.bettino@gmail.com","2/1/15","8209 Market Street,Avon Lake,OH,44012","midwest","(440)463-7813",""
"cluever27@gmail.com","7/25/16","475 Front Street,Rosedale,MD,21237","midatlantic","(443)332-7565",""
"isao.jutting@mac.com","1/1/16","8775 Union Street,Waldorf,MD,20602","midatlantic","(240)421-1707","1/1/16"
"wiuff90@att.net","","","","",""
"cliffton41@yahoo.com","3/31/15","4102 Front Street,Fort Lauderdale,FL,33326","south","(954)770-1300",""
"mestas72@gmail.com","6/14/14","5566 Main Street North,Providence,RI,02909","northest","(401)442-2370",""
"sabas35@gmail.com","11/2/16","779 Union Street,Eugene,OR,97405","northwest","(541)725-1926",""
"fhampston72@gmail.com","","","","",""
"","","","","",""
"florrie.felkey@hotmail.com","","","","",""
"sueann70@comcast.net","12/13/16","296 Canterbury Court,Richmond,VA,23225","south","(540)577-9874",""
"bwalberg@aol.com","9/29/16","168 James Street,Camden,SC,29020","south","(803)972-6363",""
"ronetta67@mac.com","12/11/13","836 Franklin Street,Clementon,NJ,08021","midatlantic","(609)812-5538",""
"abdul-aziz53@gmail.com","2/12/14","5570 Grove Street,Brighton,,48114","midwest","(810)548-8945",""
"ttejwani51@yahoo.com","1/13/15","2358 Washington Street,San Dimas,CA,91773","west","(818)648-7839",""
"ryszard23@gmail.com","3/20/12","605 1st AVE,Birmingham,AL,35211","south","(205)996-1627",""
"banty18@att.net","12/5/14","646 Delaware Avenue,Granite City,IL,62040","midwest","(618)940-2769",""
"salah49@gmail.com","7/28/10","4940 Vine Street,Richland Center,WI,53581","midwest","(608)573-2229",""
"rgodfrey@gmail.com","8/2/14","303 East Street,Rockford,IL,61107","midwest","(815)661-3049",""
"cliffton.wannamaker@yahoo.com","10/22/13","9324 7th Street East,Clearwater,FL,33763","south","(727)520-7752",""
"benigna.sordillo21@aol.com","11/10/14","75418 Cedar Street,Staten Island,NY,10305","midatlantic","(718)872-4919",""
"beecher35@gmail.com","1/23/12","9148 Franklin Street APT A,Sacramento,CA,95823","west","(916)436-9375",""
"sreedhar74@gmail.com","7/6/16","5277 Lafayette Avenue,San Diego,CA,92115","west","(619)238-8673",""
"ahaskey71@yahoo.com","10/22/12","73190 Virginia Avenue,Centralia,IL,62801","midwest","(618)694-4227",""
"","","","","",""
"kary.sabelka@aol.com","","","","",""
"claretta.griggsby@mac.com","1/11/10","8767 Franklin ST,Florissant,CO,80816","southwest","(719)907-2333",""
"bockelmann76@yahoo.com","4/25/15","86849 Locust ST,Belfair,,98528","northwest","(360)344-4720",""
"mikel.wahrer59@yahoo.com","2/2/16","6346 Hill ST,Scranton,PA,18512","midatlantic","(570)407-3121",""
